Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
Mejoramineto integral del barrio Moravia, Medellín;Universidad Nacional de Colombia. Sede Medellin ;2004;Universidad Nacional de Colombia. Sede Medellin ;Colombia ;PUN-138; Cultura y espacio urbano;Planeacion Urbana y Normativa
Cartilla del espacio público;Alcaldía mayor de Bogotá;1993;Alcaldía mayor de Bogotá;Colombia ;PUN-139; Cultura y espacio urbano;Planeacion Urbana y Normativa
Moravia, Medellín Colombia;Pedro Santana;1986;Eschborn;Alemania;PUN-140; Cultura y espacio urbano;Planeacion Urbana y Normativa
Medellín Ciudad a campo abierto. Por un pacto social para el ordenamiento territorial;Alcaldia de Medellín;2007;Alcaldia de Medellín;Colombia;PUN-141; Cultura y espacio urbano;Planeacion Urbana y Normativa
La Bogotá del tercer milenio : historia de una revolución urbana 1998-2000: Para todos;Alcaldía mayor de Bogotá;2000;Alcaldía Mayor de Bogotá;Colombia ;PUN-142; Cultura y espacio urbano;Planeacion Urbana y Normativa
La Bogotá del tercer milenio : historia de una revolución urbana 1998-2000: A escala humana;Alcaldía mayor de Bogotá;2000;Alcaldía Mayor de Bogotá;Colombia ;PUN-143; Cultura y espacio urbano;Planeacion Urbana y Normativa
Formas de crecimiento urbano regional, en el caso de las localidades de Bosa, Ciudad Bolivar y Usme, y el municipio de soacha;Moreno Blanco, Omar Enrique - Peña Frade Nayibe;2004;Universidad La Gran Colombia;Colombia ;PUN-144; Cultura y espacio urbano;Planeacion Urbana y Normativa
Guia dels parcs de l´area metropolitana de barcelona;;1998;Area metropolitana de Barcelona;Colombia ;PUN-145; Cultura y espacio urbano;Planeacion Urbana y Normativa
Transformaciones urbanas en Bogotá 1930-1948 incidencia de la mentalidad colectiva;Villar Lozano, Mayerly Rosa - Triviño Rodriguez, Martha Isabel - Monroy Leal, Myriam;2009;Universidad La Gran Colombia;Colombia ;PUN-146; Cultura y espacio urbano;Planeacion Urbana y Normativa
Decreto 215 de 2005, Tomo 1 - Plan maestro de espacio público.;Alcaldia Mayor de Bogotá;2005;Alcaldia Mayor de Bogotá;Colombia ;PUN-147; Cultura y espacio urbano;Planeacion Urbana y Normativa
El espacio público como patrimonio de la ciudad, Tomo 2 - Plan maestro de espacio publico;Alcaldia Mayor de Bogotá;2005;Alcaldia Mayor de Bogotá;Colombia ;PUN-148; Cultura y espacio urbano;Planeacion Urbana y Normativa
Conjuntos monumentales, Tomo 4 - Plan maestro de espacio publico;Alcaldia Mayor de Bogotá;2005;Alcaldia Mayor de Bogotá;Colombia ;PUN-149; Cultura y espacio urbano;Planeacion Urbana y Normativa
Análisis de la dinamica Urbana: Medición gestión y financiación del desarrollo urbano;Alcaldia Mayor de Bogotá;2015;Alcaldia Mayor de Bogotá;Colombia ;PUN-150; Cultura y espacio urbano;Planeacion Urbana y Normativa
Cartilla de accesos vehiculares a predios con frente a vías arterias;Alcaldia Mayor de Bogotá;2007;Alcaldia Mayor de Bogotá;Colombia ;PUN-151; Cultura y espacio urbano;Planeacion Urbana y Normativa
;;;;;;;
Patrimonio de la humanidad en Colombia;Ministerio de Cultura;2013;Planeta;Colombia;PCC-001; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Patrimonio urbano en Colomia;Instituto Colombiano de Cultura. Colcultura;1997;Panamericana Formas e Impresos S.A;Colombia;PCC-002; Cultura y espacio urbano;Patrimonio Cultural Colombiano
La ciudad como bien cultural;Instituto Colombiano de Cultura. Colcultura;1992;Escala;Colombia;PCC-003; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Reunion de directores de patrimonio de América Latina y El Caribe;Instituto Colombiano de Cultura. Colcultura;1996;Escala;Colombia;PCC-004; Cultura y espacio urbano;Patrimonio Cultural Colombiano
La ciudad como patrimonio;Instituto Colombiano de Cultura. Colcultura;1996;Escala;Colombia;PCC-005; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Valoración e inventario de la arquitectura contextual no monumental;Instituto Colombiano de Cultura. Colcultura;1996;Escala;Colombia;PCC-006; Cultura y espacio urbano;Patrimonio Cultural Colombiano
La ciudad como bien cultural. Valoración del patrimonio inmueble;Instituto Colombiano de Cultura. Colcultura;;Colcultura;Colombia;PCC-007; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Legislación sobre patrimonio cultural inmuebles. Ley 163 de 1959;Instituto Colombiano de Cultura. Colcultura;1990;Colcultura;Colombia;PCC-008; Cultura y espacio urbano;Patrimonio Cultural Colombiano
La casa de la real fábrica de aguardiente de la Villa de Leyva;Telecom;1952;Telecom;Colombia;PCC-009; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Patrimonio urbanístico y arquitectónico del Valle de Aburrá;Área Metropolitana del Valle de Aburrá;2010;Litoimpresos y Servicios S.A.S;Colombia;PCC-010; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Programa institucional. Manual Universidades;Instituto Colombiano de Cultura. Colcultura;1999;Document technologu;Colombia;PCC-011; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Programa institucional. Cartilla instructiva;Instituto Colombiano de Cultura. Colcultura;1999;Document technologu;Colombia;PCC-012; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Conservación y archivo de material fotográfico Antonio Castañeda Buraglia;Instituto Colombiano de Cultura. Colcultura;1986;Colcultura;Colombia;PCC-013; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Paisajes e itinerarios culturales como estrategias para el desarrollo. Libro de memorias;Tello, María Isabel;2008;Escala;Colombia;PCC-014; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Disputas simbólicas en la celebración del centenario de la independencia de Colombia en Bogota (1910) Los monumentos a Simón Bolivar y a Policarpa Salavarrieta;Vanegas Carrasco, Carolina;2012;Editorial Planeta;Colombia;PCC-015; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Legislación y normas generales para la gestión, protección y salvaguardia del patrimonio cultural en Colombia. Ley 1185 y su reglammentación;Ministerio de Cultura;2013;Imprenta Nacional;Colombia;PCC-016; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Patrimonio Cultural para todos. Una guía de fácil comprensión;Ministerio de Cultura;2013;Imprenta Nacional;Colombia;PCC-017; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Convención y políticas de salvaguardia del PCI;Ministerio de Cultura;2013;Imprenta Nacional;Colombia;PCC-018; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Guías para el conocimiento y la gestión del Patrimonio Cultural Inmaterial. Módulo I;Ministerio de Cultura;2013;Imprenta Nacional;Colombia;PCC-019; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Introduciendo a los jóvenes en la protección del patrimonio cultural y los centros históricos. Una guía práctica para maestros en Colombia;Ministerio de Cultura;2006;Editorial Planeta;Colombia;PCC-020; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Formulación e implementación de planes especiales de manejo y protección. Bienes Inmuebles de Interés Cultural;Ministerio de Cultura;2011;Nomos impresores;Colombia;PCC-021; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Políticas de gestión para la sostenibilidad del patrimonio urbano;Calvo Posso, Ana María;2001;CEJA;Colombia;PCC-022; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Foro sobre cultura y constituyente;Instituto Colombiano de Cultura. Colcultura;1990;Escala;Colombia;PCC-023; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Politica cultural para los centros históricos y el patrimonio inmueble;Instituto Colombiano de Cultura. Colcultura;1988;Colcultura;Colombia;PCC-024; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Mito y rito entre los muiscas;Rozo Gauta, Jose;1997;Editorial El Búho;Colombia;PCC-025; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Carnestolendas y Carnabales en Santa Fe y Bogotá;González Pérez, Marcos;2005;Visuales DAR Ltda;Colombia;PCC-026; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Política para el conocimiento, la salvaguardia y el fomento de la alimentación y las cocinas tradicionales de Colombia;Ministerio de Cultura;2012;Ministerio de Cultura;Colombia;PCC-027; Cultura y espacio urbano;Patrimonio Cultural Colombiano
El municipio colonial en la historia urbana;Núñez Sanchez, Jorge;2001;Universidad Central de Ecuador;Ecuador;PCC-028; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Rescate del patrimonio material mas antiguop de la región de las iglesias precordilleranas a los templos urbanos;"Númez Atencio, Lautaro; González Pizarro, José Antonio;Galeno Ibaceta, Claudio";2010;Graficandes;Colombia;PCC-029; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Bienes culturales muebles. Manual para inventario;Instituto Colombiano de Cultura. Colcultura;1991;Colcultura;Colombia;PCC-030; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Cundinamarca patrimonio inmueble e identidad;"Fonseca Martínez, Lorenzo; Caballero Leguizamón, Jorge";2000;Ediciones Proa;Colombia;PCC-031; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Declaratoria y manejo de monumetos nacionales;Instituto Colombiano de Cultura. Colcultura;1990;Colcutura;Colombia;PCC-032; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Manual de preinventario urbano y arquitectonico;Instituto Colombiano de Cultura. Colcultura;1990;Colcutura;Colombia;PCC-033; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Bienes Inmuebles Cartilla de Mantenimiento;Instituto Colombiano de Cultura. Colcultura;1994;Colcultura;Colombia;PCC-034; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Manual para el manejo de los Sitios Culturaes del Patrimonio Cultural;Feilden, Bernard M. y Jokilehto, Jukka;1995;Colcultura;Colombia;PCC-035; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Memoria coloquio internacional. Patrimonio, rehabilitación y calidad de vida para el Siglo XXI;Narváez, Edgar;1999;Universidad Central de Ecuador;Ecuador;PCC-036; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Viñales, un paisaje a proteger;Melero Lazo, Nelson et al.;2005;Ediciones Pontón Caribe S.A;Cuba;PCC-037; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Programa reciclaje de las estaciones del ferrocarril;Instituto Colombiano de Cultura. Colcultura;1992;Colcultura;Colombia;PCC-038; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Estación de la sabana;Nuñes Acero, Holman Ariel;2010;Universidad Católica de Colombia;Colombia;PCC-039; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Vigías del patrimonio. Mecanismos de participación;Instituto Colombiano de Cultura. Colcultura;2004;Escala;Colombia;PCC-040; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Programa Nacional. Vigías del patrimonio.;Instituto Colombiano de Cultura. Colcultura;2002;Escala;Colombia;PCC-041; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Programa de participación. Vigías del patrimonio;Instituto Colombiano de Cultura. Colcultura;2004;Escala;Colombia;PCC-042; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Manual de reglamentación. Poblados de interés patrimonial;Cortés Solano, Rodrigo y Del Castillo Daza, Juan Carlos;1;Colcultura;Colombia;PCC-043; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Monumento Nacionales de Colombia Siglo XIX;Instituto Colombiano de Cultura. Colcultura;1995;Escala;Colombia;PCC-044; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Monumentos Nacionales de Colombia Siglo XX;Instituto Colombiano de Cultura. Colcultura;1995;Editorial Presencia;Colombia;PCC-045; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Monumentos Nacionales de Colombia Época Colonial;Instituto Colombiano de Cultura. Colcultura;1997;Editorial Presencia;Colombia;PCC-046; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Del Monumento al pensamiento. Patrimonio de Colombia para la humanidad;Ministerios de Cultura;2012;Editorial Nomos;Colombia;PCC-047; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Manual para el manejo de los sitios del patrimonio mundial cultural;Jokilehto, Jukka y Feilden, Bernard M.;1995;Colcultura;Colombia;PCC-048; Cultura y espacio urbano;Patrimonio Cultural Colombiano
La resturación de casas en bahareque y tapia pizada;Olivares, Antonio;1995;Universidad Católica de Colombia;Colombia;PCC-049; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Museo del Oro. Boletín No. 44-45;Banco de la República;1999;Banco de la República;Colombia;PCC-050; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Políticas y gestión para la sostenibilidad del patrimonio urbano;Calvo Posso, Ana María;2001;CEJA;Colombia;PCC-051; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Ponencias y conclusiones primer foro internacional sobre patrimonio arquitectónico Cartagena, Octubre de 1986;Futuro. Revista de la Universidad Jorge Tadeo Lozano Seccional del Caribe;1987;Universidad Jorge Tadeo Lozano Seccional del Caribe;Colombia;PCC-052; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Normas minimas para la conservación de los Bienes Culturales;Colcultura;1987;Escala;Colombia;PCC-053; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Arquitectura cultura patrimonio;Banco de la República;2017;Letrarte;Colombia;PCC-054; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Inventario-Valoración del patrimonio;Caballero Leguizamón, Jorge & Fonseca Martínez, Lorenzo;2000;Proa;Colombia;PCC-055; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Edificios bien de interes cultural. Universidad Nacional de Colombia sede Bogotá;Universidad Nacional;2014;Edmon Castell;Colombia;PCC-056; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Patrimonio Arquitectonico de la ciudad universitaria de Bogotá;Universidad Nacional;2013;;Colombia;PCC-057; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Monumentos nacionales de Colombia Siglo XX;Colcultura;1996;;Colombia;PCC-058; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Monumentos nacionales de Colombia epoca colonial ;Colcultura;1997;;Colombia;PCC-059; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Tejer y equilibrar: Sintesis del estudio histórico y valoración;Instituto distrital de patrimonio cultural - Bogotá;2021;;Colombia;PCC-060; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Tejer y equilibrar: Documento síntesis del plan especial de manejo y protección del centro histórico de bogotá;Instituto distrital de patrimonio cultural - Bogotá;2021;;Colombia;PCC-061; Cultura y espacio urbano;Patrimonio Cultural Colombiano
Tejer y equilibrar: Cartilla de norma urbana patrimonial;Instituto distrital de patrimonio cultural - Bogotá;2021;;Colombia;PCC-062; Cultura y espacio urbano;Patrimonio Cultural Colombiano
;;;;;;;
;;;;;;;
Catálogos empresas de construcción;;;;;INM-001;Tecnología y medio ambiente;Innovación y Materiales
Información técnica ;SIKA;;SIKA;Colombia;INM-002;Tecnología y medio ambiente;Innovación y Materiales
Catálogo Concretos Diamantes-Samper, Construimos un futuro sólido alrededor del planeta ;Catalogo Concretos Diamantes-Samper;;Diamantes-Samper;Colombia;INM-003;Tecnología y medio ambiente;Innovación y Materiales
Bambusa Guadua;Villegas, Marcelo;1989;Villegas Editores;Colombia;INM-004;Tecnología y medio ambiente;Innovación y Materiales
Ideas inspiradas que cambian tu vida;ALFA;;ALFA;Colombia;INM-005;Tecnología y medio ambiente;Innovación y Materiales
Catálogo de cubiertas;Eternit;;Eternit;Colombia;INM-006;Tecnología y medio ambiente;Innovación y Materiales
Catálogo de tejas;Eternit;;Eternit;Colombia;INM-007;Tecnología y medio ambiente;Innovación y Materiales
Terastone System. Tecnologías e instalaciones Breton para fabricar tablas y baldosas de piedras y aglomeradas con cemento;Breton;;Breton;Alemania;INM-008;Tecnología y medio ambiente;Innovación y Materiales
Thermoacustic no le pasan los años, ni el calor. Ni el ruido;Ajover;;Ajover;Colombia;INM-009;Tecnología y medio ambiente;Innovación y Materiales
Manual de Instalación;Ajover;;Ajover;Colombia;INM-010;Tecnología y medio ambiente;Innovación y Materiales
Productos extruidos perfiles de libre disposición;Alumina;1987;Aluminio Nacional S.A;Colombia;INM-011;Tecnología y medio ambiente;Innovación y Materiales
Catálogo general de productos;Colombit;;Colombit;Colombia;INM-012;Tecnología y medio ambiente;Innovación y Materiales
El plástico en la Construcción. Tésis de grado;More de Vargas, Maria Alexandra;;Universidad Católica de Colombia;Colombia;INM-013;Tecnología y medio ambiente;Innovación y Materiales
Revestimientos y Acabados. Placas planas;Eternit;;Eternit;Colombia;INM-014;Tecnología y medio ambiente;Innovación y Materiales
